nb,nu,nd,ns,ne,nm,μu,μd,μe,P,e
6.116298399999999e-5,6.13912932638361e-5,0.00011241259210658245,9.702395860863564e-6,2.3169746071894935e-7,0.0,0.08464281785942093,0.10364400599758522,0.01900118813816428,-0.000636496276443199,0.0006543534975694196
0.00012232596799999999,0.00012247791815569827,0.00019022625597081292,5.426274436957162e-5,1.6364910830078006e-7,0.0,0.10654401136925933,0.12346574603987001,0.016921734670610682,-0.0006309978183682895,0.0006742358931251108
0.000183488952,0.000183601392692911,0.0002621307968913392,0.00010470895202315428,1.2428517663004185e-7,0.0,0.1219318049179515,0.13737060148476765,0.015438796566816146,-0.0006244506251913935,0.000697232390158353
0.00024465193599999997,0.00024473827365344467,0.000331649249302542,0.00015754329455001413,1.0027645198159195e-7,0.0,0.13418854851341094,0.1485613023166025,0.014372753803191555,-0.0006170685534083269,0.0007225861497626246
0.00030581491999999997,0.00030591719843602386,0.00039979841141610196,0.00021175679196322903,8.406967899358477e-8,0.0,0.14454712398114325,0.15809964625571965,0.013552522274576397,-0.000608988478238412,0.000749895730125022
0.000366977904,0.0003670326530840862,0.0004670073047429861,0.0002668649145909517,7.255051003311698e-8,0.0,0.15359307603513975,0.16649597084323514,0.012902894808095387,-0.0006003118910749725,0.0007788732690119784
0.000428140888,0.0004281956121883584,0.0005335763545218117,0.00032265287282282724,6.38126589900058e-8,0.0,0.1616890264095953,0.1740516111216932,0.012362584712097923,-0.0005910974842556144,0.0008093608813014301
0.0004893038719999999,0.0004893474173474869,0.0005996195234876003,0.000378928570191781,5.697822260367843e-8,0.0,0.1690451621116819,0.18094962939785553,0.011904467286173611,-0.000581403838535867,0.0008411942452249549
0.0005504668559999999,0.0005505033755527285,0.0006652686988203418,0.0004356107576275095,5.1492372470693e-8,0.0,0.17581179708540345,0.1873212487678234,0.01150945168241997,-0.0005712686127964348,0.0008742723077275679
0.0006116298399999999,0.0006116630502720085,0.0007305894608567084,0.0004926190877603602,4.698130131358999e-8,0.0,0.18209451343367578,0.19325754143210153,0.011163027998425763,-0.0005607259159583467,0.0009085012027010319
0.000672792824,0.0006728207937382529,0.0007956372137042201,0.000549900709320171,4.321137756273791e-8,0.0,0.18797105014281593,0.19882713019833614,0.010856080055520224,-0.0005498036888795266,0.0009438044329505727
0.000733955808,0.0007339811214205447,0.0008604481253608499,0.0006074103134741205,4.0004022286939815e-8,0.0,0.1935016817786455,0.20408223120281835,0.01058054942417287,-0.0005385257152809055,0.0009801165452214184
0.0007951187919999999,0.0007951439646551303,0.0009250611412340427,0.0006651221459991032,3.7246080362838726e-8,0.0,0.19873323296510828,0.20906482364967124,0.010331590684562962,-0.0005269114089586398,0.0010173847130545567
0.000856281776,0.0008563028396947596,0.0009895080328798313,0.000723016522315063,3.485866943866754e-8,0.0,0.20370263336765967,0.2138085862414982,0.010105952873838534,-0.0005149779804269732,0.0010555619301631423
0.00091744476,0.000917460491716748,0.0010537930606858094,0.0007810581299909906,3.275922155343703e-8,0.0,0.20844062412876535,0.21833947673755172,0.009898852608786365,-0.0005027427168409089,0.0010945995274901838
0.0009786077439999999,0.0009786244034050858,0.001117938351283206,0.0008392345706989452,3.089583576839093e-8,0.0,0.212972933502169,0.22268042419119563,0.00970749068902663,-0.000490218238356746,0.0011344631447502823
0.0010397707279999999,0.0010397866879016488,0.0011819612890463817,0.0008975345867492325,2.9236934921262806e-8,0.0,0.21732001431648823,0.22685055662672476,0.00953054231023654,-0.0004774169743711258,0.0011751185078430649
0.0011009337119999999,0.0011009767253618683,0.0012458898285535585,0.000955960871963993,2.7741809197151097e-8,0.0,0.22150166686332262,0.23086690000863355,0.009365233145310927,-0.0004643456538454418,0.0012165485390096544
0.0011620966959999999,0.001162107196016044,0.0013096946670444673,0.0010144670964601372,2.6414939728724397e-8,0.0,0.22552726669880951,0.234740743388364,0.009213476689554505,-0.00045102610365179644,0.0012586886666736258
0.0012232596799999999,0.0012232697777693946,0.0013734176113561168,0.0010730747136765445,2.5199590155536348e-8,0.0,0.22941606918002522,0.238486017779579,0.009069948599553799,-0.0004374562125235181,0.001301548397170426
0.001284422664,0.0012844314643582141,0.0014370548385140211,0.0011317656289174243,2.409235123159395e-8,0.0,0.23317726427942143,0.2421123775413085,0.008935113261887066,-0.00042364836125449766,0.001345092022382447
0.001345585648,0.001345592032551804,0.0015006082682764768,0.0011905287985022172,2.3077387663475594e-8,0.0,0.23682081529945043,0.24562865121140845,0.00880783591195802,-0.0004096109785322304,0.0013892957519413137
0.001406748632,0.0014067541285867097,0.0015640943608948778,0.0012493681768028784,2.2146547950784303e-8,0.0,0.24035565814809182,0.2490434421277541,0.008687783979662272,-0.0003953494305059037,0.0014341453320250673
0.001467911616,0.0014679160220921503,0.0016275149614703645,0.0013082755186206569,2.1289263591447896e-8,0.0,0.24378946468013848,0.25236367001485294,0.00857420533471445,-0.0003808709148490668,0.001479620418559265
0.0015290746,0.0015290784733458303,0.0016908726257026648,0.001367244317057317,2.0496096183872815e-8,0.0,0.24712919957024232,0.2555955722857038,0.008466372715461488,-0.0003661818051065126,0.0015257030679334896
0.0015902375839999998,0.001590242108534271,0.0017541718623517266,0.0014262708173120749,1.9759942270339294e-8,0.0,0.25038108693313693,0.25874485967642374,0.008363772743286804,-0.0003512877072374203,0.0015723776149852604
0.0016514005679999998,0.0016514039686254644,0.001817417315889682,0.001485352206855176,1.9076161669604188e-8,0.0,0.2535505368696353,0.26181670050368155,0.008266163634046251,-0.00033619406541996936,0.0016196288049094535
0.001712563552,0.0017125654142613035,0.0018806113853202075,0.0015444842793989062,1.843862576670374e-8,0.0,0.2566426469755842,0.26481567867471895,0.00817303169913476,-0.00032090592736311736,0.0016674424320758789
0.0017737265359999998,0.001773728362944519,0.0019437576715195292,0.0016036645621592795,1.7842331394800324e-8,0.0,0.2596620619697462,0.26774602279995446,0.00808396083020826,-0.00030542774647667294,0.001715806049069409
0.00183488952,0.001834892930481732,0.0020068627353439115,0.0016628939011293406,1.7284434376752844e-8,0.0,0.2626129182978366,0.2706117284791442,0.007998810181307605,-0.0002897633136674877,0.0017647092256541119
0.0018960525039999998,0.0018960567802324283,0.002069921327228025,0.0017221625241406707,1.6759894121390216e-8,0.0,0.2654988742534569,0.27341593706056944,0.00791706280711252,-0.0002739182880940752,0.0018141355210897782
0.0019572154879999998,0.0019572163131667914,0.002132938258267498,0.0017814705097309992,1.6267445445135285e-8,0.0,0.2683232189205182,0.27616196842540225,0.007838749504884042,-0.00025789655020098023,0.0018640740895821913
0.002018378472,0.0020183798523021913,0.002195917906731666,0.0018408179095843716,1.5802581895092245e-8,0.0,0.2710895034775453,0.27885286272090987,0.007763359243364579,-0.00024170072903913214,0.0019145177821376907
0.0020795414559999998,0.0020795409234040147,0.0022588606067022866,0.0019002012957408168,1.5364303764035258e-8,0.0,0.2738003457455363,0.28149125986212115,0.007690914116584861,-0.00022533523387073393,0.0019654539506195456
0.00214070444,0.002140700970901442,0.0023217681170010994,0.0019596188722690133,1.495004070121784e-8,0.0,0.27645850089283963,0.2840796616941747,0.0076211608013350704,-0.00020880332845278247,0.0020168733911584006
0.0022018674239999998,0.002201865935616756,0.0023846450056023497,0.0020190717631019257,1.4557095452336166e-8,0.0,0.2790667059896491,0.28662050183850873,0.007553795848859608,-0.0001921071710268511,0.002068770264872239
0.002263030408,0.00226302849294787,0.002447488774042908,0.002078554647339632,1.4184655043188895e-8,0.0,0.2816269471253016,0.28911576484053875,0.007488817715237125,-0.00017525121049485036,0.002121131627922129
0.0023241933919999997,0.002324191103917213,0.002510302382710506,0.0021380675758585392,1.383093193151649e-8,0.0,0.28414146714447125,0.2915675105156294,0.007426043371158142,-0.00015823788116210767,0.002173950710837989
0.002385356376,0.002385353395415671,0.0025730832611044695,0.0021976055499793147,1.3493811740916955e-8,0.0,0.286612239320691,0.29397745070269377,0.007365211382002758,-0.0001410707256554668,0.002227217238049818
0.0024465193599999997,0.002446517507494409,0.0026358386399072268,0.002257173039703174,1.3172874702540835e-8,0.0,0.28904120206840095,0.29634755287139924,0.007306350802998312,-0.00012375113787252922,0.002280927632789462
0.0025076823439999997,0.0025076785554026247,0.0026985708959349716,0.002316770080392189,1.2868230409532484e-8,0.0,0.2914298935552285,0.29867948072444417,0.007249587169215665,-0.00010628191676498419,0.002335073942991482
0.002568845328,0.0025688453191652946,0.0027612792561354125,0.0023763938590646194,1.257662225291868e-8,0.0,0.2937802734849883,0.3009746805292061,0.0071944070442178055,-8.866499958177739e-5,0.0023896506949789504
0.0026300083119999997,0.0026300058719408996,0.0028239599308113304,0.0024360388169010374,1.2298621323790614e-8,0.0,0.29609340120984456,0.3032344030219102,0.007141001812065618,-7.090480868118657e-5,0.0024446448604890625
0.002691171296,0.00269116784866939,0.002886617321587185,0.0024957073053647537,1.2032503022881981e-8,0.0,0.2983709936161601,0.3054601135941756,0.007089119978015491,-5.3002229160245594e-5,0.0025000542314049202
